Fortigate Model;ASIC version;CPU model;Number of CPUs/threads for Intel CPUs;Memory (RAM) size (MB);Compact Flash size (MB);Hard disk size (MB);Firewall Throughput (1518/512/64 byte UDP);IPsec VPN Throughput (512 byte);IPS Throughput (Enterprise Mix);NGFW Throughput (Enterprise Mix);Threat Protection Throughput (Ent. Mix);Firewall Latency;Concurrent Sessions;New Sessions/Sec;Firewall Policies;Max G/W to G/W IPSEC Tunnels;Max Client to G/W IPSEC Tunnels;SSL VPN Throughput;"Concurrent SSL VPN Users (Recommended Maximum; Tunnel Mode)";"SSL Inspection Throughput (IPS; avg. HTTPS)";Application Control Throughput (HTTP 64K);Max FortiAPs (Total / Tunnel);Max FortiSwitches;Max FortiTokens;Virtual Domains (Default/Max);Interfaces;Local Storage;Power Supplies;Form Factor;Variants
FortiGate-30D;CP0;FortiSOC2;1;932;3879;;;;;;;;;;;;;;;;;;;;;;;;;
FortiWifi-30E;;ARMv7;2;1006;128;;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-30G;SOC4;ARMv8 1200 MHz;4;1918;9982 (MLC);9944;4/4/3.9 Gbps;3.5 Gbps;800 Mbps;570 Mbps;500 Mbps;2.87 μs;"600;000";"30;000";"2;000";200;250;—;—;400 Mbps;830 Mbps;16/8;8;500;—;4x GE RJ45;30 GB (31G);Single AC PS;Desktop;WiFi
FortiWiFi-40C;CP0;FortiSOC;1;436;3838;;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-40F;SOC4;ARMv8;4;1820;3662 (EMMC);;5/5/5 Gbps;4.4 Gbps;1 Gbps;800 Mbps;600 Mbps;2.97 μs;"700;000";"35;000";"2;000";200;250;—;—;310 Mbps;990 Mbps;16/8;8;500;10/10;5x GE RJ45;—;Single AC PS;Desktop;"WiFi; 3G4G"
FortiWiFi-50E;;ARMv7;2;2021;128;;;;;;;;;;;;;;;;;;;;;;;;;
FortiWiFi-50G-SFP;SOC5;ARMv8;4;1927;9982 (MLC);;;;;;;;;;;;;;;;;;;;;;;;;
FortiGateRugged-50G-5G;SOC5;ARMv8;4;1934;3742 (MLC);;;;;;;;;;;;;;;;;;;;;;;;;
Fortigate-60D;CP0;FortiSOC2;1;1839;3879;;;;;;;;;;;;;;;;;;;;;;;;;
FortiWiFi-60E;SOC3;ARMv7;4;1863;3662 (EMMC);;;;;;;;;;;;;;;;;;;;;;;;;
